;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes
30900;2021-11-03;PR;CAMPINA GRANDE DO SUL;116;9,9;-25.37066089;-49.12779968;3
30901;2021-11-03;SP;GUARULHOS;116;212;-23.43640075;-46.42888969;2
30902;2021-11-03;RS;OSORIO;101;74;-29.784359;-50.228235;2
30903;2021-11-03;BA;VITORIA DA CONQUISTA;116;16,4;-14.90236897;-40.84472364;2
30904;2021-11-03;PB;BAYEUX;101;81,9;-7.12954163;-34.93641615;2
30905;2021-11-03;ES;CARIACICA;101;286,5;-20.26857815;-40.38870335;2
30906;2021-11-03;PB;MAMANGUAPE;101;42,7;-6.862302;-35.13341;1
30907;2021-11-03;PR;FERNANDES PINHEIRO;277;222,8;-25.47146832;-50.46919944;3
30908;2021-11-03;PR;MARECHAL CANDIDO RONDON;163;284;-24.56445426;-54.03466702;1
30909;2021-11-03;PR;CURITIBA;116;119,7;-25.57173219;-49.31089662;3
30910;2021-11-03;PB;CAMPINA GRANDE;230;147,9;-7.236463;-35.867748;1
30911;2021-11-03;PR;CASCAVEL;277;600,1;-25.013458;-53.537374;1
30912;2021-11-03;PE;CARUARU;104;77,9;-8.38452019;-35.98237775;2
30913;2021-11-03;MT;SORRISO;163;745;-12.70808082;-55.81904129;1
30914;2021-10-18;BA;JACOBINA;324;286;-11.15222528;-40.57077538;2
30915;2021-11-03;MS;CORUMBA;262;651;-19.71439908;-56.98973813;1
30916;2021-11-03;RS;TUPANCIRETA;158;239,8;-29.01971897;-53.64718533;1
30917;2021-09-29;GO;PROFESSOR JAMIL;153;565,4;-17.2566;-49.2418;3
30918;2021-10-29;PE;RECIFE;232;4,5;-8.066598;-34.942008;3
30919;2021-11-03;RS;SANTA BARBARA DO SUL;285;392,7;-28.38797;-53.273266;2
30920;2021-10-29;PR;LONDRINA;369;146,7;-23.29321525;-51.12780154;4
30921;2021-11-03;PE;CARUARU;232;127,5;-8.30413947;-35.97296119;4
30922;2021-11-03;RN;GOIANINHA;101;146,5;-6.26255354;-35.21147156;3
30923;2021-11-03;PB;SANTA LUZIA;230;292;-6.86603446;-36.91841841;1
30924;2021-07-03;CE;PARAMBU;20;7;-6.47817697;-40.74776253;1
30925;2021-11-03;MG;JUIZ DE FORA;267;73,2;-21.75070613;-43.15938495;1
30926;2021-11-03;BA;PAULO AFONSO;110;0,2;-9.42293739;-38.19899526;2
30927;2021-11-03;BA;UBAITABA;101;440,3;-14.30297736;-39.32418823;5
30928;2021-11-03;SC;RIO DO SUL;470;138,9;-27.19775115;-49.62844133;2
30929;2021-11-03;MS;NOVA ANDRADINA;376;160;-22.33443362;-53.48355211;2
30930;2021-11-03;RJ;DUQUE DE CAXIAS;116;141;-22.66548745;-43.26134032;5
30931;2021-11-03;MG;OLIVEIRA;381;626;-20.805195;-44.790446;1
30932;2021-11-03;PR;CORNELIO PROCOPIO;369;95;-23.226731;-50.6755;1
30933;2021-10-26;TO;PRESIDENTE KENNEDY;153;290,4;-8.447854;-48.484885;5
30934;2021-11-03;RS;URUGUAIANA;472;577,2;-29.778593;-57.061582;2
30935;2021-11-03;PR;CORNELIO PROCOPIO;369;85,9;-23.17359862;-50.62009156;3
30936;2021-11-03;PE;VENTUROSA;424;51,6;-8.72052154;-36.77046776;2
30937;2021-11-03;ES;CARIACICA;262;3,7;-20.33555296;-40.37557125;3
30938;2021-11-03;RS;CASEIROS;285;215,2;-28.263868;-51.661053;2
30939;2021-11-03;PB;CABEDELO;230;1,9;-6.98302039;-34.82955694;2
30940;2021-11-03;SC;MAFRA;0;0;-26.14561473;-49.82130289;2
30941;2021-11-03;MG;BELO HORIZONTE;381;454,5;-19.84132062;-43.87321472;3
30942;2021-11-03;PR;MARECHAL CANDIDO RONDON;163;288;-24.52321278;-54.06299852;1
30943;2021-11-03;RJ;DUQUE DE CAXIAS;116;144;-22.67323464;-43.28712355;1
30944;2021-10-23;PB;JOAO PESSOA;101;88;-7.16511878;-34.89944458;4
30945;2021-11-04;PE;PETROLINA;407;124,1;-9.374616;-40.538237;2
30946;2021-11-04;BA;FORMOSA DO RIO PRETO;135;38;-11.11396;-45.107605;2
30947;2021-11-04;DF;BRASILIA;40;2,8;-15.99983894;-47.98457265;3
30948;2021-11-04;PE;PETROLINA;428;191,5;-9.383894;-40.518249;3
30949;2021-11-04;CE;ITATIRA;20;269;-4.66545139;-39.39949853;8
30950;2021-11-04;MG;CONGONHAS;40;607;-20.47904994;-43.84133046;2
30951;2021-11-04;RO;VILHENA;364;15;-12.73595286;-60.14944911;2
30952;2021-09-29;RS;BOM JESUS;285;82;-28.63982799;-50.64757347;1
30953;2021-11-04;DF;BRASILIA;70;12,3;-15.79315175;-48.16065073;2
30954;2021-10-11;SC;ARAQUARI;280;26;-26.389697;-48.734109;2
30955;2021-10-26;RN;MACAIBA;304;281;-5.88878;-35.487307;1
30956;2021-11-04;ES;SOORETAMA;101;110,7;-19.06215201;-40.03484798;2
30957;2021-10-31;RS;MINAS DO LEAO;290;181;-30.140005;-52.023026;2
30958;2021-11-04;RJ;CAMPOS DOS GOYTACAZES;356;130,4;-21.69613303;-41.36022556;2
30959;2021-11-04;AC;PORTO ACRE;317;5;-9.63480198;-67.33232897;7
30960;2021-11-04;AL;SAO SEBASTIAO;101;214,4;-10.02978319;-36.63332084;2
30961;2021-11-04;GO;FLORES DE GOIAS;20;126;-14.851294;-46.77523;5
30962;2021-11-04;MG;PARACATU;40;29;-17.14892389;-46.94276491;3
30963;2021-10-16;PE;CABROBO;428;13;-8.502297;-39.329382;2
30964;2021-10-15;BA;VITORIA DA CONQUISTA;116;3;-14.824866;-40.860802;2
30965;2021-11-04;RS;RIO PARDO;471;174;-30.022757;-52.373554;6
